"Pyrope",
"Almandine",
"Spessartine",
"Grossular",
"Kyanite",
"Sillimanite",
"Andalusite",
"Gypsum",
"Baryte",
"Anhydrite",
"Pyrite",
"Chalcopyrite",
"Calcite",
"Aragonite", 
"Dolomite",
"Ankerite", 
"Siderite", 
"Magnesite", 
"Orthoclase", 
"Albite",
"Sanidine", 
"Microcline", 
"Anorthite", 
"Nepheline", 
"Leucite",
"Sodalite", 
"Nosean", 
"Haüyne", 
"Enstatite", 
"Ferrosilite",
"Diopside", 
"Hedenbergite", 
"Jadeite", 
"Omphacite",
"Kaolinite", 
"Illite", 
"Montmorillonite", 
"Vermiculite",
"Phlogopite", 
"Annite", 
"Eastonite", 
"Muscovite", 
"Phengite",
"Paragonite", 
"Quartz", 
"Rutile", 
"Hematite", 
"Ilmenite",
"Chromite", 
"Magnetite", 
"Tremolite", 
"Actinolite", 
"Glaucophane",
"Riebeckite", 
"Lizardite", 
"Augite", 
"Chrysotile", 
"Antigorite",
"Talc", 
"Chlorite", 
"Clinochlore", 
"Chamosite", 
"Tourmaline",
"Lawsonite", 
"Epidote", 
"Zoisite", 
"Fayalite", 
"Forsterite",
"Zircon", 
"Titanite", 
"Staurolite", 
"Apatite", 
"Monazite"